original_path,processed_path,scale,psnr,ssim
processed_images\face_original.jpg,processed_images\face_processed_0.3.jpg,0.3,29.643730002462704,0.7388296005255369
processed_images\flowers_original.jpg,processed_images\flowers_processed_0.85.jpg,0.85,34.17901079711436,0.9672776782204036
processed_images\flowers_original.jpg,processed_images\flowers_processed_0.6.jpg,0.6,30.632084979686663,0.9294894580064791
processed_images\flowers_original.jpg,processed_images\flowers_processed_0.45.jpg,0.45,27.98339042144622,0.8801974170634623
processed_images\flowers_original.jpg,processed_images\flowers_processed_0.3.jpg,0.3,25.038806708070336,0.7810578241758872
processed_images\foreman_original.jpg,processed_images\foreman_processed_0.85.jpg,0.85,36.80837698136668,0.9817358601254048
processed_images\foreman_original.jpg,processed_images\foreman_processed_0.6.jpg,0.6,32.7755430081023,0.9606812556230383
processed_images\foreman_original.jpg,processed_images\foreman_processed_0.45.jpg,0.45,30.64744051282057,0.9351942143617474
processed_images\foreman_original.jpg,processed_images\foreman_processed_0.3.jpg,0.3,27.57501374113387,0.8800458621339322
processed_images\lenna_original.jpg,processed_images\lenna_processed_0.85.jpg,0.85,36.81048422494814,0.9402881446730467
processed_images\lenna_original.jpg,processed_images\lenna_processed_0.6.jpg,0.6,33.832704758003615,0.8897059287023135
processed_images\lenna_original.jpg,processed_images\lenna_processed_0.45.jpg,0.45,31.934356004776095,0.8506854038341576
processed_images\lenna_original.jpg,processed_images\lenna_processed_0.3.jpg,0.3,29.505609117366213,0.7916155307709828
processed_images\man_original.jpg,processed_images\man_processed_0.85.jpg,0.85,32.57694983980998,0.9457492378049008
processed_images\man_original.jpg,processed_images\man_processed_0.6.jpg,0.6,29.41531154217875,0.8890206303224849
processed_images\man_original.jpg,processed_images\man_processed_0.45.jpg,0.45,27.476878268421224,0.8304707251831441
processed_images\man_original.jpg,processed_images\man_processed_0.3.jpg,0.3,25.345815482075555,0.730528257317212
processed_images\monarch_original.jpg,processed_images\monarch_processed_0.85.jpg,0.85,37.94378914306809,0.9860982240118988
processed_images\monarch_original.jpg,processed_images\monarch_processed_0.6.jpg,0.6,33.89771668779952,0.9692345420058522
processed_images\monarch_original.jpg,processed_images\monarch_processed_0.45.jpg,0.45,30.975006527374674,0.9481071020892929
processed_images\monarch_original.jpg,processed_images\monarch_processed_0.3.jpg,0.3,27.687452457287023,0.9057728238166632
processed_images\pepper_original.jpg,processed_images\pepper_processed_0.85.jpg,0.85,35.16769179697572,0.9178981340056503
processed_images\pepper_original.jpg,processed_images\pepper_processed_0.6.jpg,0.6,31.742341266567415,0.8682639965873312
processed_images\pepper_original.jpg,processed_images\pepper_processed_0.45.jpg,0.45,30.053528281648305,0.8376944865301028
processed_images\pepper_original.jpg,processed_images\pepper_processed_0.3.jpg,0.3,28.170191176149157,0.7910035432625593
processed_images\ppt3_original.jpg,processed_images\ppt3_processed_0.85.jpg,0.85,32.138301004720795,0.9809641994785827
processed_images\ppt3_original.jpg,processed_images\ppt3_processed_0.6.jpg,0.6,28.099952644209182,0.9575304012075807
processed_images\ppt3_original.jpg,processed_images\ppt3_processed_0.45.jpg,0.45,24.89173249537698,0.922363904696546
processed_images\ppt3_original.jpg,processed_images\ppt3_processed_0.3.jpg,0.3,21.891433078800677,0.8520986314501947
processed_images\zebra_original.jpg,processed_images\zebra_processed_0.85.jpg,0.85,35.67930052627646,0.981483525242241
processed_images\zebra_original.jpg,processed_images\zebra_processed_0.6.jpg,0.6,31.74279651834611,0.9523027261107626
processed_images\zebra_original.jpg,processed_images\zebra_processed_0.45.jpg,0.45,28.68860882745052,0.9023317050482239
processed_images\zebra_original.jpg,processed_images\zebra_processed_0.3.jpg,0.3,24.731272576946598,0.7792527598283322
